Link,Author,Release Date,Title
https://research.anoma.net/t/about-the-comparative-architecture-category/105,https://research.anoma.net/u/cwgoes,2023-10-01,About the Comparative Architecture category
https://research.anoma.net/t/notes-on-profitable-censorship-mev/433,https://research.anoma.net/u/apriori,2024-01-06,Notes on profitable Censorship MEV
https://research.anoma.net/t/notes-on-ethereum-in-numbers-where-physics-meets-tps/434,https://research.anoma.net/u/apriori,2024-01-06,Notes on Ethereum in Numbers - Where physics meets TPS
https://research.anoma.net/t/do-intents-exist-outside-of-twitter/419,https://research.anoma.net/u/apriori,2023-12-01,Do Intents Exist outside of Twitter?!
https://research.anoma.net/t/anoma-3-celestia-intent-centric-rollups/386,https://research.anoma.net/u/apriori,2023-12-01,Anoma <3 Celestia: Intent-centric rollups
https://research.anoma.net/t/towards-an-intent-centric-topology-draft/214,https://research.anoma.net/u/cwgoes,2023-11-01,Towards an intent-centric topology [draft]
https://research.anoma.net/t/nillions-nmc-approach-to-smpc/363,https://research.anoma.net/u/terence,2023-11-01,Nillion’s “NMC” approach to SMPC
https://research.anoma.net/t/this-is-not-the-suave-you-are-looking-for/325,https://research.anoma.net/u/apriori,2023-10-01,This is not the SUAVE you are looking for
https://research.anoma.net/t/anoma-is-putting-graphs-back-into-crypto/131,https://research.anoma.net/u/apriori,2023-10-01,Anoma is putting graphs back into crypto
https://research.anoma.net/t/discussion-typhons-chimera-chains/250,https://research.anoma.net/u/isheff,2023-10-01,Discussion: Typhon’s Chimera Chains
https://research.anoma.net/t/intents-with-data-dependencies/257,https://research.anoma.net/u/robin,2023-10-01,Intents with data dependencies
https://research.anoma.net/t/unpacking-uniswapx/206,https://research.anoma.net/u/apriori,2023-10-01,Unpacking UniswapX
https://research.anoma.net/t/introducing-brink-intents-brink-is-building-the-most-advanced-intents-protocol-for-web3/263,https://research.anoma.net/u/brinktrade,2023-09-01,Introducing Brink Intents: Brink is building the most advanced intents protocol for Web3
https://research.anoma.net/t/an-introduction-to-intents-and-intent-centric-architectures/269,https://research.anoma.net/u/awa,2023-09-01,An Introduction to Intents and Intent-Centric Architectures
https://research.anoma.net/t/draft-proposal-intents-as-constraint-satisfaction-problems-implemented-by-partial-transactions/210,https://research.anoma.net/u/degregat,2023-09-01,"Draft Proposal: Intents as Constraint Satisfaction Problems, implemented by (Partial) Transactions"
https://research.anoma.net/t/zexe-vs-verizexe-vs-taiga/115,https://research.anoma.net/u/alberto,2023-09-01,Zexe vs. VeriZexe vs. Taiga
https://research.anoma.net/t/intents-arent-real-intents-day-recap/241,https://research.anoma.net/u/apriori,2023-09-01,Intents Aren’t Real - Intents Day Recap
https://research.anoma.net/t/rollups-from-the-future-arent-real/69,https://research.anoma.net/u/apriori,2023-08-01,Rollups from the Future Aren’t Real
https://research.anoma.net/t/exploring-intents-in-modular-architectures/136,https://research.anoma.net/u/apriori,2023-07-01,Exploring Intents in Modular Architectures
