Link,Author,Release Date,Title
https://forum.apecoin.com/t/about-the-final-aips-category/6302,https://forum.apecoin.com/u/river,2022-05-01,About the Final AIPs category
https://forum.apecoin.com/t/aip-397-nft-launchpad-powered-by-ape/21555,https://forum.apecoin.com/u/penguinpecker,2024-05-02,AIP-397: NFT Launchpad Powered by $Ape!
https://forum.apecoin.com/t/aip-415-single-seat-nominees-a-more-competitive-election-pool/22907,https://forum.apecoin.com/u/cryptologically,2024-05-01,AIP-415: Single Seat Nominees - A More Competitive Election Pool
https://forum.apecoin.com/t/aip-408-q2-q3-2024-governance-working-group-budget/21345,https://forum.apecoin.com/u/allcitybayc,2024-05-01,AIP-408: Q2/Q3 2024 Governance Working Group Budget
https://forum.apecoin.com/t/aip-411-artjourney-with-apecoin-the-jrny-gallery-experience/22598,https://forum.apecoin.com/u/jrnyclub,2024-05-01,AIP-411: ArtJourney with ApeCoin: The JRNY Gallery Experience
https://forum.apecoin.com/t/aip-363-unlocking-ape-potential-building-a-credit-market-with-myso-finance/19712,https://forum.apecoin.com/u/dominic,2024-05-01,AIP-363: Unlocking $APE’ potential: Building a credit market with MYSO Finance
https://forum.apecoin.com/t/aip-414-apecoin-dao-at-nfc-lisbon/22808,https://forum.apecoin.com/u/allcitybayc,2024-04-18,AIP-414: ApeCoin DAO at NFC Lisbon
https://forum.apecoin.com/t/aip-409-voter-discovery-and-coalitions-in-apecoin-dao/21966,https://forum.apecoin.com/u/eyal,2024-04-18,AIP-409: Voter Discovery and Coalitions in ApeCoin DAO
https://forum.apecoin.com/t/aip-405-resubmission-apeswap-on-apechain/22330,https://forum.apecoin.com/u/alexmccurry,2024-04-17,AIP-405: [Resubmission] ApeSwap on ApeChain
https://forum.apecoin.com/t/aip-398-apecoin-rewards-app/21565,https://forum.apecoin.com/u/grains0x,2024-04-17,AIP-398: ApeCoin Rewards App
https://forum.apecoin.com/t/aip-400-enable-ape-as-a-payment-option-for-onchain-consumer-transactions-on-co-create-ink/21679,https://forum.apecoin.com/u/phishfood,2024-04-17,AIP-400: Enable $APE as a payment option for onchain consumer transactions on Co:Create Ink
https://forum.apecoin.com/t/aip-295-protect-snapshot-must-have-1-apecoin-to-vote/14546,https://forum.apecoin.com/u/bigbull,2024-04-10,AIP-295: Protect Snapshot - Must have 1 Apecoin to vote
https://forum.apecoin.com/t/aip-300-create-custom-beta-tester-forum-badge/16664,https://forum.apecoin.com/u/hangout,2024-04-10,AIP-300: Create Custom “Beta Tester” Forum Badge
https://forum.apecoin.com/t/aip-299-apecoin-merch-for-the-apefest/16791,https://forum.apecoin.com/u/normie,2024-04-10,AIP-299: ApeCoin merch for the ApeFest
https://forum.apecoin.com/t/aip-402-ape-as-a-fuel-for-mobile-growth-to-help-make-dookey-dash-a-1-hit-game/22072,https://forum.apecoin.com/u/squiddy,2024-04-04,AIP-402: $APE as a Fuel for Mobile Growth to Help Make Dookey Dash a #1 Hit Game
https://forum.apecoin.com/t/aip-393-proposal-to-stake-2-5-million-ape-into-the-cyan-apecoin-vault/20921,https://forum.apecoin.com/u/cyan,2024-04-04,AIP-393: Proposal to stake 2.5 Million APE into the Cyan ApeCoin Vault
https://forum.apecoin.com/t/aip-404-apecoin-dao-metaverse-working-group-budget/22062,https://forum.apecoin.com/u/cypherglaze,2024-04-04,AIP-404: ApeCoin DAO Metaverse Working Group Budget
