Link,Author,Release Date,Title
https://forum.apecoin.com/t/about-the-withdrawn-aips-category/6298,https://forum.apecoin.com/u/river,2024-04-29,About the Withdrawn AIPs category
https://forum.apecoin.com/t/wild-idea-1-introducing-apecoinlive-a-weekly-raffle/22790,https://forum.apecoin.com/u/ssp1111,2024-05-12,Wild Idea #1: Introducing ApeCoinLive: A Weekly Raffle
https://forum.apecoin.com/t/apecoindao-defining-official-working-groups/21501,https://forum.apecoin.com/u/allcitybayc,2024-05-10,ApeCoinDAO: Defining Official Working Groups
https://forum.apecoin.com/t/proposal-to-integrate-augmented-reality-with-the-apecoin-ecosystem/22891,https://forum.apecoin.com/u/mutant33,2024-05-06,Proposal to integrate Augmented Reality with the ApeCoin ecosystem
https://forum.apecoin.com/t/a-survey-on-token-holder-motivations-and-expectations/22845,https://forum.apecoin.com/u/daotimes,2024-05-02,A Survey on Token Holder Motivations and Expectations
https://forum.apecoin.com/t/curtail-horizenlabs-mocaverse-dominance-voting-to-be-made-compulsory-for-all-staking-rewards/23475,https://forum.apecoin.com/u/furiousanger,2024-05-02,Curtail HORIZENLABS & MOCAVERSE dominance - voting to be made compulsory for all staking rewards
https://forum.apecoin.com/t/communitys-takeover-bid/23483,https://forum.apecoin.com/u/furiousanger,2024-05-02,Community’s takeover bid
https://forum.apecoin.com/t/keeping-up-with-the-apes-never-miss-any-new-developments/22756,https://forum.apecoin.com/u/ceoofweb3.0,2024-04-22,Keeping up with the Apes : Never miss any new developments
https://forum.apecoin.com/t/memecoin-for-ape-holders-on-solana/22761,https://forum.apecoin.com/u/uzi,2024-04-22,Memecoin for $APE Holders on Solana
https://forum.apecoin.com/t/quadratic-voting-system/22635,https://forum.apecoin.com/u/valll67,2024-04-17,Quadratic voting system
https://forum.apecoin.com/t/proposing-grant-ships-as-the-premier-grants-program-for-apechain/22209,https://forum.apecoin.com/u/boiler,2024-04-07,Proposing Grant Ships as the Premier Grants Program for ApeChain
https://forum.apecoin.com/t/omnichain-fund-for-apecoin-ecosystem/22019,https://forum.apecoin.com/u/xavierfreeway,2024-03-25,Omnichain Fund for Apecoin Ecosystem
https://forum.apecoin.com/t/aip-385-gwg-delegate-accelerator/21077,https://forum.apecoin.com/u/bigbull,2024-03-19,AIP-385: GWG Delegate Accelerator
https://forum.apecoin.com/t/aip-387-gwg-x-uma-on-chain-grants/21154,https://forum.apecoin.com/u/allcitybayc,2024-03-15,AIP-387: GWG x UMA On-Chain Grants
https://forum.apecoin.com/t/buy-two-hundred-mocaverse-nfts/22578,https://forum.apecoin.com/u/furiousanger,2024-03-13,BUY TWO HUNDRED MOCAVERSE NFTs
https://forum.apecoin.com/t/ape-oasis-a-strategic-haven-in-scarquests-velhalla-for-bored-apes/21424,https://forum.apecoin.com/u/apejumper,2024-03-08,Ape Oasis: A Strategic Haven in ScarQuest’s Velhalla for Bored Apes
https://forum.apecoin.com/t/apecoin-dao-ape-club-nft/22511,https://forum.apecoin.com/u/0xwebmoss,2024-03-08,ApeCoin DAO Ape Club NFT
https://forum.apecoin.com/t/reimbursement-for-health-coverage-and-expenses-for-ape-foundation-governance-and-metaverse-employees/21908,https://forum.apecoin.com/u/livefast9986,2024-03-01,"Reimbursement for Health Coverage and Expenses for Ape Foundation, Governance, and Metaverse Employees"
https://forum.apecoin.com/t/ape-university-education-in-web3/19758,https://forum.apecoin.com/u/russell,2024-02-29,APE University (Education in Web3)
https://forum.apecoin.com/t/regarding-apechain-alternative-solutions/21302,https://forum.apecoin.com/u/tommyworldpower,2024-02-27,Regarding Apechain & Alternative Solutions
https://forum.apecoin.com/t/aip-358-ape-assembly-restructuring-for-independence/19232,https://forum.apecoin.com/u/smartape,2024-02-22,AIP-358: Ape Assembly Restructuring For Independence
https://forum.apecoin.com/t/aip-370-the-mutant-apes-toy-line/18853,https://forum.apecoin.com/u/lost.admin,2024-02-19,AIP-370: The Mutant Apes (toy line)
https://forum.apecoin.com/t/ensuring-impartiality-and-integrity-conflict-of-interest-policy-for-sc-members-in-apecoin-dao/20885,https://forum.apecoin.com/u/uzi,2024-02-19,Ensuring Impartiality and Integrity: Conflict of Interest Policy for SC Members in ApeCoin DAO
https://forum.apecoin.com/t/apechain-gaming-nft-hub-built-on-gelato-powered-by-apecoin/21301,https://forum.apecoin.com/u/therealspatrick,2024-02-17,ApeChain: Gaming & NFT Hub built on Gelato powered by ApeCoin
https://forum.apecoin.com/t/a-c-t-stack-v2-0-content-archiving-transcription-translation-diarization-and-summarisation-automated-event-management/21165,https://forum.apecoin.com/u/ceoofweb3.0,2024-02-16,"A.C.T. Stack v2.0 : Content Archiving, Transcription, Translation, Diarization and Summarisation + Automated Event management"
https://forum.apecoin.com/t/replace-nft-based-ape-staking/21281,https://forum.apecoin.com/u/david_metastreet,2024-02-16,Replace NFT-based APE Staking
https://forum.apecoin.com/t/aip-357-streamlined-aip-timing-process/19235,https://forum.apecoin.com/u/smartape,2024-02-16,AIP-357: Streamlined AIP Timing Process
https://forum.apecoin.com/t/aip-359-special-council-vote-of-no-confidence/19275,https://forum.apecoin.com/u/smartape,2024-02-16,AIP-359: Special Council Vote of No Confidence
https://forum.apecoin.com/t/empower-madebyapes-loyalty-rewards-via-apecoin-consumer-status/19765,https://forum.apecoin.com/u/longlivecrypto.eth,2024-02-06,Empower MadeByApes Loyalty Rewards via ApeCoin Consumer Status
https://forum.apecoin.com/t/aip-386-add-guideline-to-have-aips-request-only-in-ape/20763,https://forum.apecoin.com/u/darevader,2024-02-01,AIP-386: Add Guideline to have AIPs request only in $APE
https://forum.apecoin.com/t/a-culinary-journey-in-the-apecoin-universe/20858,https://forum.apecoin.com/u/gerardorami10,2024-01-29,A culinary journey in the Apecoin Universe
https://forum.apecoin.com/t/create-a-special-council-marker-for-aips/20769,https://forum.apecoin.com/u/darevader,2024-01-29,Create a Special Council Marker for AIPs
https://forum.apecoin.com/t/returned-for-reconstruction-administrative-summary/16211,https://forum.apecoin.com/u/chris.admin,2024-01-26,Returned for Reconstruction: Administrative Summary
https://forum.apecoin.com/t/optimizing-apechain-voting-prohibiting-a-rfp-and-coordinating-multiple-proposals-voting/20971,https://forum.apecoin.com/u/uzi,2024-01-22,Optimizing ApeChain Voting: Prohibiting a RFP and Coordinating Multiple Proposals Voting
https://forum.apecoin.com/t/slash-the-apecoin-only-staking-pool/20031,https://forum.apecoin.com/u/gerry,2024-01-21,Slash the ApeCoin Only Staking Pool
https://forum.apecoin.com/t/apechain-move-to-icp/20899,https://forum.apecoin.com/u/xavierfreeway,2024-01-19,APEchain Move to ICP
https://forum.apecoin.com/t/ape-house-the-first-irl-hub-for-bayc-mayc-token-holders/20772,https://forum.apecoin.com/u/chaps,2024-01-19,Ape House - The First IRL Hub for BAYC & MAYC Token Holders
https://forum.apecoin.com/t/video-game-school-for-apes-who-cant-play-good/20888,https://forum.apecoin.com/u/boredelon,2024-01-18,Video game school for Apes who can’t play good
https://forum.apecoin.com/t/create-an-apecoin-special-council-x-account/20768,https://forum.apecoin.com/u/darevader,2024-01-14,Create an ApeCoin Special Council X Account
https://forum.apecoin.com/t/create-a-tier-system-marker-for-aips/20771,https://forum.apecoin.com/u/darevader,2024-01-14,Create a Tier System Marker for AIPs
https://forum.apecoin.com/t/create-an-aip-downloadable-template/20766,https://forum.apecoin.com/u/darevader,2024-01-14,Create an AIP Downloadable Template
https://forum.apecoin.com/t/create-an-apecoin-dao-telegram-server/20770,https://forum.apecoin.com/u/darevader,2024-01-14,Create an ApeCoin DAO Telegram Server
https://forum.apecoin.com/t/apecoin-dao-sponsors-delegation/20767,https://forum.apecoin.com/u/darevader,2024-01-14,ApeCoin DAO Sponsors Delegation
https://forum.apecoin.com/t/be-more-welcoming-to-everyone-no-centralised-feel-bring-back-the-focus-reduce-aip-times/19796,https://forum.apecoin.com/u/thefatherofallstorms,2024-01-14,"Be more welcoming to everyone , no centralised feel! Bring back the focus! Reduce AIP times!"
https://forum.apecoin.com/t/apefi-nft-etherum-vault/20708,https://forum.apecoin.com/u/raymond,2024-01-12,APEFI NFT/Etherum VAULT
https://forum.apecoin.com/t/slash-the-bayc-mayc-bakc-staking-pools/20059,https://forum.apecoin.com/u/kodama,2024-01-10,Slash the BAYC/MAYC/BAKC Staking Pools
https://forum.apecoin.com/t/safeguarding-our-dao-with-1-100-000-of-monthly-profit/20469,https://forum.apecoin.com/u/triplecube,2024-01-08,"Safeguarding our DAO with $1,100,000 of Monthly Profit"
https://forum.apecoin.com/t/raise-dao-membership-to-10-apecoin/20090,https://forum.apecoin.com/u/feld,2024-01-08,Raise DAO membership to 10 ApeCoin
https://forum.apecoin.com/t/leave-staking-the-f-alone/20307,https://forum.apecoin.com/u/capetaintrippy,2024-01-08,Leave Staking the F alone!
https://forum.apecoin.com/t/aip-351-interim-communications-action-team-cat-proactive-pr-setting-up-the-marketing-working-group-for-success/19271,https://forum.apecoin.com/u/ssp1111,2024-01-08,AIP-351: Interim-Communications Action Team (CAT): Proactive PR & Setting-up the Marketing Working Group for Success
https://forum.apecoin.com/t/the-dao-needs-revenue/20189,https://forum.apecoin.com/u/fuego,2024-01-08,The DAO Needs Revenue
https://forum.apecoin.com/t/revival-of-10ktf-weekly-shows/20470,https://forum.apecoin.com/u/grimyfrankie,2024-01-07,Revival of 10ktf Weekly Shows
https://forum.apecoin.com/t/apecoin-dao-development-program-and-ecosystem-development-lead/19307,https://forum.apecoin.com/u/waabam,2023-12-01,ApeCoin DAO Development Program and Ecosystem Development Lead
https://forum.apecoin.com/t/shaping-success-building-a-stronger-future-with-new-governance-working-group-pay/20963,https://forum.apecoin.com/u/moonlyght,2023-12-01,Shaping Success: Building a Stronger Future with new Governance Working Group Pay
https://forum.apecoin.com/t/made-by-apes-and-powered-by-apecoin/20299,https://forum.apecoin.com/u/fuego,2023-12-01,Made By Apes and Powered By ApeCoin
https://forum.apecoin.com/t/official-transparency-dashboard-for-apecoin-dao/18123,https://forum.apecoin.com/u/memebrains,2023-12-01,Official Transparency Dashboard for ApeCoin DAO
https://forum.apecoin.com/t/aip-361-community-alignment-on-the-immediate-reduction-or-elimination-of-ape-staking-emissions/18042,https://forum.apecoin.com/u/collabcurrency,2023-12-01,AIP-361: Community alignment on the immediate reduction or elimination of $APE staking emissions
https://forum.apecoin.com/t/wen-clubhouse-now/19530,https://forum.apecoin.com/u/fuego,2023-12-01,Wen Clubhouse? Now!
https://forum.apecoin.com/t/bored-gallery-around-the-world-global-expansion-art-gallery/19956,https://forum.apecoin.com/u/makeagod.eth,2023-12-01,Bored Gallery – Around the World / GLOBAL EXPANSION Art Gallery
https://forum.apecoin.com/t/dao-restructure/19834,https://forum.apecoin.com/u/secengjeff,2023-12-01,DAO restructure
https://forum.apecoin.com/t/a-flight-to-sustainability-sikorsky-uh-60-black-hawk-helicopter-loan/20188,https://forum.apecoin.com/u/12gauge,2023-12-01,A flight to sustainability // Sikorsky UH-60 Black Hawk Helicopter Loan
https://forum.apecoin.com/t/ending-apecoin-staking-completion-of-year-1/20281,https://forum.apecoin.com/u/capetaintrippy,2023-12-01,Ending ApeCoin Staking - Completion of Year 1
https://forum.apecoin.com/t/bored-passport-otherside-residency/19724,https://forum.apecoin.com/u/superbored,2023-12-01,Bored Passport / Otherside Residency
https://forum.apecoin.com/t/apecoin-handmade-bejewelled-purse/20103,https://forum.apecoin.com/u/apecoincarpetman,2023-11-01,Apecoin Handmade Bejewelled Purse
https://forum.apecoin.com/t/permit-working-group-budgets-to-be-based-on-a-term-of-1-year/20056,https://forum.apecoin.com/u/lor3lord,2023-11-01,Permit Working Group Budgets To Be Based On A Term of 1 Year
https://forum.apecoin.com/t/asia-web3-alliance-community-support-program/19549,https://forum.apecoin.com/u/hinza,2023-11-01,一般社団法人ASIA WEB3 ALLIANCE 日本 - Community Support Program
https://forum.apecoin.com/t/partnering-with-a-series-d-fintech-to-lend-to-web2-companies-in-the-philippines/19521,https://forum.apecoin.com/u/marxmanship,2023-11-01,Partnering with a Series D Fintech to Lend to Web2 Companies in the Philippines
https://forum.apecoin.com/t/aip-330-apecoin-innovation-fund/18193,https://forum.apecoin.com/u/0xwebmoss,2023-11-01,AIP-330: ApeCoin Innovation Fund
https://forum.apecoin.com/t/aip-idea-dedicated-livestreaming-channel-for-apecoin-with-token-gating-apecoin-utility-other-crypto-native-features/19332,https://forum.apecoin.com/u/ravi,2023-11-01,"AIP Idea: Dedicated Livestreaming Channel for ApeCoin with Token-gating, ApeCoin Utility, & Other Crypto-Native Features"
https://forum.apecoin.com/t/bored-ape-escape/18106,https://forum.apecoin.com/u/lolacreates,2023-11-01,Bored Ape Escape
https://forum.apecoin.com/t/use-apecoin-logo-branding-for-issuing-visa-cards-for-ape-community-fans/19497,https://forum.apecoin.com/u/kblockchainbabe,2023-11-01,Use ApeCoin logo/branding for issuing Visa Cards for Ape Community Fans
https://forum.apecoin.com/t/aip-using-community-based-insurance-to-protect-bayc-mayc-holders/17865,https://forum.apecoin.com/u/northquotient,2023-11-01,AIP: Using Community Based Insurance to Protect BAYC/MAYC Holders
https://forum.apecoin.com/t/aip-342-capping-voting-power-at-1-million/19079,https://forum.apecoin.com/u/0xsword,2023-11-01,AIP-342: Capping Voting Power At 1 Million
https://forum.apecoin.com/t/changing-the-way-twitter-x-spaces-are-scheduled/19078,https://forum.apecoin.com/u/0xleined,2023-11-01,Changing the Way Twitter/X Spaces Are Scheduled
https://forum.apecoin.com/t/discuss-the-daily-operations-and-work-management-models-of-dao-and-funded-aips/19062,https://forum.apecoin.com/u/likkee.eth,2023-11-01,Discuss the daily operations and work management models of DAO and funded AIPs
https://forum.apecoin.com/t/ai-powered-aip-proposal-generator/19912,https://forum.apecoin.com/u/rogercawdette,2023-11-01,AI-powered AIP Proposal Generator
https://forum.apecoin.com/t/creating-a-decentralized-autonomous-organization-dao-incubator-program-powered-by-apecoin/18885,https://forum.apecoin.com/u/olakojodan,2023-10-01,Creating a Decentralized Autonomous Organization (DAO) incubator program powered by Apecoin
https://forum.apecoin.com/t/apecoin-credit-card-nft-personalized-global-ape-spending-credit-card-with-exclusive-privileges-for-ape-holders/18020,https://forum.apecoin.com/u/jasonjape,2023-10-01,ApeCoin Credit Card - NFT-Personalized Global $APE spending Credit Card with Exclusive Privileges for $APE Holders
https://forum.apecoin.com/t/a-bitpay-enabled-apecoin-powered-custom-item-shop/13486,https://forum.apecoin.com/u/houdinifr,2023-10-01,"A Bitpay enabled, ApeCoin-powered Custom Item Shop"
https://forum.apecoin.com/t/million-ape-art/17938,https://forum.apecoin.com/u/kalamona,2023-10-01,Million APE Art
https://forum.apecoin.com/t/change-url-for-proposals-to-proposals-apecoin-com/17029,https://forum.apecoin.com/u/bigbull,2023-10-01,Change URL for proposals to proposals.apecoin.com
https://forum.apecoin.com/t/an-apecoin-run-royalty-enforced-opensea-replacement/17879,https://forum.apecoin.com/u/zheerwagen,2023-10-01,"An ApeCoin Run, Royalty Enforced, OpenSea Replacement"
https://forum.apecoin.com/t/cyan-is-requesting-permission-to-use-apecoins-branding-for-marketing-to-enhance-the-ecosystem-with-a-community-focused-staking-dashboard-benefiting-ape-token-holders-and-nft-owners-at-no-cost/18820,https://forum.apecoin.com/u/cyan,2023-10-01,"Cyan is requesting permission to use ApeCoin’s branding for marketing to enhance the ecosystem with a community-focused staking dashboard, benefiting APE token holders and NFT owners at no cost"
https://forum.apecoin.com/t/replace-apecoin-only-staking-pool-w-otherdeed-staking/18779,https://forum.apecoin.com/u/feld,2023-10-01,Replace Apecoin Only Staking Pool w/ OtherDeed Staking
https://forum.apecoin.com/t/aip-331-apecoin-dao-logo-usage-permission-apefest-2023-hong-kong-geolocation-locked-ar-experience/18090,https://forum.apecoin.com/u/evil,2023-10-01,AIP-331: Apecoin DAO Logo usage permission: ApeFest 2023: Hong Kong- Geolocation locked AR Experience
https://forum.apecoin.com/t/aip-333-downsizing-apecoin-dao-special-council-members/18818,https://forum.apecoin.com/u/moonlyght,2023-10-01,AIP-333: Downsizing ApeCoin DAO Special Council Members
https://forum.apecoin.com/t/the-first-profitable-aip-powered-by-paraspace/17693,https://forum.apecoin.com/u/luke6832.eth,2023-10-01,The first profitable AIP! Powered by ParaSpace
https://forum.apecoin.com/t/add-risks-challenges-section-into-the-aip-proposal-template/17850,https://forum.apecoin.com/u/shotgun.tobi,2023-10-01,Add “RISKS & CHALLENGES” Section into the AIP Proposal Template
https://forum.apecoin.com/t/enhancing-apecoin-daos-voting-system/17942,https://forum.apecoin.com/u/ali3n,2023-09-01,Enhancing ApeCoin DAO’s Voting System
https://forum.apecoin.com/t/any-to-ape-cross-chain-swap-from-across-defi-powered-by-rango/17233,https://forum.apecoin.com/u/sirrramirez333,2023-09-01,any-to-APE cross-chain swap from across DeFi powered by Rango
https://forum.apecoin.com/t/aip-276-implementing-osnap-for-optimistic-governance-in-apecoin-dao/13810,https://forum.apecoin.com/u/jdshutt,2023-09-01,AIP-276: Implementing oSnap for Optimistic Governance in ApeCoin DAO
https://forum.apecoin.com/t/anky-building-with-the-otherside-in-mind/17641,https://forum.apecoin.com/u/jpfraneto,2023-09-01,Anky - building with the otherside in mind
https://forum.apecoin.com/t/looking-for-feedback-fortnite-islands-based-on-yuga-ip-swamp-otherside-etc/16837,https://forum.apecoin.com/u/konop,2023-09-01,"Looking for feedback - Fortnite islands based on Yuga IP (swamp, otherside, etc)"
https://forum.apecoin.com/t/integration-of-ens-and-unstoppable-domains-on-apestake-io-website/14890,https://forum.apecoin.com/u/bigbull,2023-09-01,Integration of ENS and Unstoppable domains on apestake.io website
https://forum.apecoin.com/t/apecoin-arenas-gaming-metaverse/17410,https://forum.apecoin.com/u/0xwebmoss,2023-09-01,ApeCoin Arenas Gaming & MetaVerse
https://forum.apecoin.com/t/update-the-system-secure-the-treasury-funds-to-multi-sig-wallet-phase-1/16333,https://forum.apecoin.com/u/zack74eth,2023-09-01,Update The System - Secure The Treasury Funds to Multi-sig Wallet - Phase 1
