Link,Author,Release Date,Title
https://forum.celestia.org/t/about-the-celestia-improvement-proposals-cips-category/1327,https://forum.celestia.org/u/carebear,2025-01-04,About the Celestia Improvement Proposals (CIPs) category
https://forum.celestia.org/t/appversion-should-be-present-in-structs-that-use-versioned-consts/1833,https://forum.celestia.org/u/oblique,2024-10-01,AppVersion should be present in structs that use versioned consts
https://forum.celestia.org/t/cip-limit-number-of-pfbs-and-non-pfbs-per-block-increase-transaction-size-limit/1843,https://forum.celestia.org/u/josh,2024-10-01,"CIP: Limit number of PFBs and non-PFBs per block, increase transaction size limit"
https://forum.celestia.org/t/cip-ginger-v3-network-upgrade/1826,https://forum.celestia.org/u/josh,2024-10-01,CIP: Ginger (v3) Network Upgrade
https://forum.celestia.org/t/cip-meta-cip-to-improve-clarity-of-cips-template/1834,https://forum.celestia.org/u/josh,2024-10-01,CIP: Meta CIP to improve clarity of CIPs template
https://forum.celestia.org/t/cip-decrease-block-time-to-6-seconds/1836,https://forum.celestia.org/u/josh,2024-10-01,CIP: Decrease block time to 6 seconds
https://forum.celestia.org/t/cip-versioned-gas-scheduler-variables/1785,https://forum.celestia.org/u/ninabarbakadze,2024-10-01,CIP: Versioned Gas Scheduler Variables
https://forum.celestia.org/t/cip-blobs-with-verified-author/1714,https://forum.celestia.org/u/cmwaters,2024-09-01,CIP: Blobs with Verified Author
https://forum.celestia.org/t/coordinated-start-time-intervals/1768,https://forum.celestia.org/u/cmwaters,2024-07-01,Coordinated Start Time Intervals
https://forum.celestia.org/t/cip-coordinated-network-upgrades/1367,https://forum.celestia.org/u/cmwaters,2024-06-01,CIP: Coordinated Network Upgrades
https://forum.celestia.org/t/cip-standardised-gas-and-pricing-estimation-interface/1621,https://forum.celestia.org/u/cmwaters,2024-05-01,CIP: Standardised Gas and Pricing Estimation Interface
https://forum.celestia.org/t/cip-disable-blobstream-module/1693,https://forum.celestia.org/u/rootulp,2024-04-01,CIP: Disable Blobstream module
https://forum.celestia.org/t/cip-price-enforcement/1351,https://forum.celestia.org/u/cmwaters,2024-04-01,CIP: Price enforcement
https://forum.celestia.org/t/cip-relayer-incentivisation-middleware/1383,https://forum.celestia.org/u/womensrights,2024-04-01,CIP: Relayer Incentivisation Middleware
https://forum.celestia.org/t/cip-shwap-protocol/1551,https://forum.celestia.org/u/wondertan,2024-04-01,CIP: Shwap Protocol
https://forum.celestia.org/t/cip-packet-forward-middleware/1359,https://forum.celestia.org/u/alex,2024-03-01,CIP: Packet Forward Middleware
https://forum.celestia.org/t/cip-make-security-related-governance-parameters-immutable/1566,https://forum.celestia.org/u/caomingpei,2024-03-01,CIP: Make security related governance parameters immutable
https://forum.celestia.org/t/lemongrass-hardfork/1589,https://forum.celestia.org/u/yazanator,2024-02-01,Lemongrass Hardfork
https://forum.celestia.org/t/cip-discourage-memo-usage/1508,https://forum.celestia.org/u/rootulp,2024-01-01,CIP: Discourage memo usage
https://forum.celestia.org/t/cip-refund-unspent-gas/1374,https://forum.celestia.org/u/rootulp,2024-01-01,CIP: Refund unspent gas
https://forum.celestia.org/t/cip-standardize-data-expiry-time-for-pruned-nodes/1326,https://forum.celestia.org/u/musalbas,2024-01-01,CIP: Standardize data expiry time for pruned nodes
https://forum.celestia.org/t/cip-13-mainnet-on-chain-governance-parameters/1390,https://forum.celestia.org/u/yazanator,2024-01-01,CIP-13: Mainnet On-chain Governance Parameters
https://forum.celestia.org/t/celestia-documentary-on-chain/1414,https://forum.celestia.org/u/hoytren,2023-12-01,Celestia documentary on chain
https://forum.celestia.org/t/unify-blobstream-relayer-into-ibc-protocol/1404,https://forum.celestia.org/u/kimurayu45z,2023-12-01,Unify BlobStream relayer into IBC protocol
https://forum.celestia.org/t/cip-for-working-group-best-practices/1343,https://forum.celestia.org/u/yazanator,2023-12-01,CIP for Working Group Best Practices
https://forum.celestia.org/t/cip-for-wg-chair-responsibilities/1344,https://forum.celestia.org/u/yazanator,2023-12-01,CIP for WG Chair Responsibilities
