Link,Author,Release Date,Title
https://forum.dymension.xyz/t/about-the-dymocracy-category/30,https://forum.dymension.xyz/u/orjah,2023-04-01,About the Dymocracy category
https://forum.dymension.xyz/t/prop-19-amm-incentive-5/3806,https://forum.dymension.xyz/u/shaolin,2024-07-05,[PROP #19] AMM Incentive #5
https://forum.dymension.xyz/t/prop-18-approved-amm-incentives-4/3701,https://forum.dymension.xyz/u/shaolin,2024-06-03,[PROP # 18][APPROVED] AMM Incentives # 4
https://forum.dymension.xyz/t/prop-16-discussion-lock-staking-rewards-for-locked-up-accounts/3658,https://forum.dymension.xyz/u/yishay,2024-05-31,[PROP # 16] [Discussion] Lock Staking Rewards for Locked-Up Accounts
https://forum.dymension.xyz/t/prop-15-approved-amm-incentives-3/3380,https://forum.dymension.xyz/u/shaolin,2024-05-19,[PROP # 15][APPROVED] AMM Incentives # 3
https://forum.dymension.xyz/t/prop-14-approved-register-existing-ibc-tokens-as-virtual-erc-20-contacts/3334,https://forum.dymension.xyz/u/shaolin,2024-04-24,[PROP # 14][APPROVED] Register existing IBC tokens as virtual ERC-20 contacts
https://forum.dymension.xyz/t/prop-12-approved-dymension-2d-upgrade/3009,https://forum.dymension.xyz/u/omritoptix,2024-04-19,[PROP # 12][APPROVED] Dymension 2D upgrade
https://forum.dymension.xyz/t/prop-7-approved-amm-incentives-2/2736,https://forum.dymension.xyz/u/shaolin,2024-04-04,[PROP # 7][APPROVED] AMM Incentives # 2
https://forum.dymension.xyz/t/prop-1-approved-increase-max-bytes-and-max-gas-in-blockparams-to-increase-max-tps/236,https://forum.dymension.xyz/u/shaolin,2024-04-01,[PROP #1][APPROVED] Increase max_bytes and max_gas in BlockParams to increase max TPS
https://forum.dymension.xyz/t/prop-6-approved-reduce-goal-bonded-ratio-to-50-and-narrow-inflation-to-8-max-and-2-min/883,https://forum.dymension.xyz/u/yishay,2024-03-26,[PROP #6][APPROVED] Reduce Goal Bonded ratio to 50% and narrow inflation to 8% max and 2% min
https://forum.dymension.xyz/t/prop-4-approved-amm-incentive-1/708,https://forum.dymension.xyz/u/shaolin,2024-03-04,[PROP # 4][APPROVED] AMM Incentive #1
https://forum.dymension.xyz/t/prop-2-approved-updated-increase-the-active-validator-set-to-125/617,https://forum.dymension.xyz/u/jayjay,2024-03-04,[PROP #2][APPROVED] [UPDATED] Increase the Active Validator Set to 125
https://forum.dymension.xyz/t/prop-3-approved-reduce-the-value-of-txsizecostperbyte/791,https://forum.dymension.xyz/u/alphab,2024-02-27,[PROP #3][APPROVED] Reduce the value of TxSizeCostPerByte
