Link,Author,Release Date,Title
https://collective.flashbots.net/t/about-the-data-category/123,https://collective.flashbots.net/u/guayabyte,2022-09-01,About the Data category
https://collective.flashbots.net/t/block-builder-profitability-research/2803,https://collective.flashbots.net/u/oreomev,2024-06-27,Block Builder Profitability - Research
https://collective.flashbots.net/t/it-s-time-to-talk-about-l2-mev/3593,https://collective.flashbots.net/u/sui414,2024-06-26,It’s time to talk about L2 MEV
https://collective.flashbots.net/t/mev-boost-builder-bids-archive/3561,https://collective.flashbots.net/u/metachris,2024-06-20,MEV-Boost Builder Bids Archive
https://collective.flashbots.net/t/mempool-dumpster-a-free-mempool-transaction-archive/2401,https://collective.flashbots.net/u/metachris,2024-06-19,Mempool Dumpster - a Free Mempool Transaction Archive
https://collective.flashbots.net/t/mev-boost-public-data-relay-bids-and-payloads/2734,https://collective.flashbots.net/u/caleb,2024-05-06,MEV-Boost Public Data - Relay Bids and Payloads
https://collective.flashbots.net/t/do-we-have-mev-data-by-protocol/2464,https://collective.flashbots.net/u/eru_iluvatar,2024-04-15,Do we have MEV data by protocol?
https://collective.flashbots.net/t/publishing-flashbots-protect-and-mev-share-data/3087,https://collective.flashbots.net/u/sui414,2024-02-22,Publishing Flashbots Protect and MEV-share Data
https://collective.flashbots.net/t/block-builder-profitability-december-2023-january-2024/3084,https://collective.flashbots.net/u/oreomev,2024-02-22,Block Builder Profitability | December 2023 - January 2024
https://collective.flashbots.net/t/agate-a-relay-data-indexer/2974,https://collective.flashbots.net/u/0xpanoramix,2024-01-24,Agate - A Relay Data Indexer
https://collective.flashbots.net/t/how-to-read-data-from-the-redis-db-and-postgres-db-on-a-locally-deployed-flashbots-relay/2865,https://collective.flashbots.net/u/kosala,2024-01-04,How to read data from the redis db and postgres db on a locally deployed flashbots relay?
https://collective.flashbots.net/t/how-to-obtain-a-bribery-id/2840,https://collective.flashbots.net/u/wangrenhe,2023-12-01,How to obtain a bribery ID
https://collective.flashbots.net/t/missed-coinbase-transfers-and-wrong-gas-used-in-flashbots-bundle-data/2525,https://collective.flashbots.net/u/kiki,2023-10-01,Missed coinbase_transfers and wrong gas_used in flashbots bundle data
https://collective.flashbots.net/t/negative-gas-prices-in-flashbots-bundle-data/2489,https://collective.flashbots.net/u/kiki,2023-09-01,Negative gas prices in flashbots bundle data
https://collective.flashbots.net/t/data-transparency-working-group-kickoff/2247,https://collective.flashbots.net/u/sajz,2023-08-01,Data Transparency Working Group - kickoff
https://collective.flashbots.net/t/will-the-real-mev-please-stand-up/1686,https://collective.flashbots.net/u/elainehu,2023-07-01,Will the real MEV please stand up?
https://collective.flashbots.net/t/bookmarks-relevant-for-data-analysis/399,https://collective.flashbots.net/u/guayabyte,2023-06-01,Bookmarks relevant for data analysis
https://collective.flashbots.net/t/opening-builder-relay-data/1642,https://collective.flashbots.net/u/fiiiu,2023-04-01,Opening Builder/Relay Data
https://collective.flashbots.net/t/pre-merge-data-for-analysis/1450,https://collective.flashbots.net/u/tanvip,2023-04-01,Pre-merge Data for Analysis
https://collective.flashbots.net/t/mev-inspect-py-rpc-url-requirements/958,https://collective.flashbots.net/u/junxi,2023-02-01,Mev-inspect-py RPC URL requirements
https://collective.flashbots.net/t/length-of-targets-and-payloads-is-not-equal/1045,https://collective.flashbots.net/u/junaid,2023-01-01,Length of targets and payloads is not equal
https://collective.flashbots.net/t/relay-data-api-transaction-data-availability/904,https://collective.flashbots.net/u/boz1,2022-12-01,Relay Data API - Transaction Data Availability
https://collective.flashbots.net/t/quantifying-nft-sniping-extracted-mev/726,https://collective.flashbots.net/u/eru_iluvatar,2022-11-01,Quantifying NFT Sniping Extracted MEV
https://collective.flashbots.net/t/using-topological-data-analysis-to-identify-distinct-mev-behavior/702,https://collective.flashbots.net/u/0xevan,2022-11-01,Using Topological Data Analysis to Identify Distinct MEV Behavior
https://collective.flashbots.net/t/on-the-toxicity-classification-of-mev-transactions/521,https://collective.flashbots.net/u/eru_iluvatar,2022-11-01,On the toxicity classification of MEV transactions
https://collective.flashbots.net/t/materials-from-devcon-colombia-data-exploration-workshop/694,https://collective.flashbots.net/u/elainehu,2022-11-01,Materials from DevCon Colombia Data Exploration Workshop
https://collective.flashbots.net/t/mev-relayer-dashboard-and-public-raw-data/323,https://collective.flashbots.net/u/codyborn,2022-11-01,MEV Relayer Dashboard and Public Raw Data
https://collective.flashbots.net/t/were-going-to-estimate-a-lower-bound-of-cross-domain-mev/515,https://collective.flashbots.net/u/sam,2022-10-01,We’re going to estimate a lower bound of cross-domain MEV
https://collective.flashbots.net/t/unrealized-value-in-mev-boost/491,https://collective.flashbots.net/u/boz1,2022-10-01,Unrealized Value in MEV-Boost
https://collective.flashbots.net/t/discrepancy-between-flashbots-api-and-etherscan-labels/391,https://collective.flashbots.net/u/marius.zoican,2022-09-01,Discrepancy between Flashbots API and Etherscan labels
https://collective.flashbots.net/t/data-transparency-mocks/214,https://collective.flashbots.net/u/guayabyte,2022-09-01,Data transparency mocks
https://collective.flashbots.net/t/mev-geth-questions-about-miner-whitelist/161,https://collective.flashbots.net/u/seongwan,2022-08-01,(MEV geth) Questions about miner whitelist
