Link,Author,Release Date,Title
https://collective.flashbots.net/t/about-the-flashbots-research-proposals-category/792,https://collective.flashbots.net/u/sarah.allen,2023-12-01,About the Flashbots Research Proposals category
https://collective.flashbots.net/t/frp-38-efficacy-of-commitment-devices-cds-in-multi-agent-games-involving-large-language-model-llm-agents/3399,https://collective.flashbots.net/u/yan,2024-05-06,FRP-38: Efficacy of Commitment Devices (CDs) in Multi-Agent Games Involving Large Language Model (LLM) Agents
https://collective.flashbots.net/t/frp-39-even-faster-private-set-intersection/3304,https://collective.flashbots.net/u/lichu,2024-04-15,FRP-39: Even Faster Private Set Intersection
https://collective.flashbots.net/t/frp-40-suave-s-potential-in-defi-a-focus-on-decentralized-exchanges-dex-and-auction-mechanisms/3204,https://collective.flashbots.net/u/cankisagun,2024-03-20,FRP-40: SUAVE’s Potential in DeFi: A focus on decentralized exchanges (DEX) and auction mechanisms
https://collective.flashbots.net/t/frp-32-socioeconomic-effects-of-cryptocurrency-redistribution-in-the-costa-rican-rural-town-of-tinamastes/2287,https://collective.flashbots.net/u/corujatejedora,2024-03-11,FRP-32: Socioeconomic effects of cryptocurrency redistribution in the Costa Rican rural town of Tinamastes
https://collective.flashbots.net/t/frp-34-do-backrun-auctions-protect-traders/2977,https://collective.flashbots.net/u/awmacp,2024-01-31,FRP-34: Do backrun auctions protect traders?
https://collective.flashbots.net/t/frp-35-pair-trading-opportunities-as-a-form-of-mev/2887,https://collective.flashbots.net/u/antero,2024-01-12,FRP-35: Pair Trading Opportunities as a form of MEV
https://collective.flashbots.net/t/frp-29-research-on-mev-in-l2-blockchains/1617,https://collective.flashbots.net/u/system,2023-11-01,FRP-29: Research on MEV in L2 Blockchains
https://collective.flashbots.net/t/frp-25-quantifying-fairness-granularity-for-first-come-first-serve-fcfs-chains/1615,https://collective.flashbots.net/u/system,2023-10-01,FRP-25: Quantifying Fairness Granularity For First-Come-First-Serve (FCFS) Chains
https://collective.flashbots.net/t/mev-research-proposal-on-optimism-bedrock-upgrade/2545,https://collective.flashbots.net/u/daniel,2023-10-01,MEV research proposal on Optimism Bedrock upgrade
