Link,Author,Release Date,Title
https://forum.makerdao.com/t/cvc-member-registration-submission-kiss-cvc/20246,https://forum.makerdao.com/u/iammeeoh,2024-03-30,CVC Member Registration Submission [KISS CVC]
https://forum.makerdao.com/t/cvc-creation-sovereign-finance-cvc/20868,https://forum.makerdao.com/u/seedlatam,2024-03-29,CVC Creation (Sovereign Finance CVC)
https://forum.makerdao.com/t/sovereign-finance-avc-quarterly-documents/21224,https://forum.makerdao.com/u/seedlatam,2024-03-29,Sovereign Finance AVC Quarterly Documents
https://forum.makerdao.com/t/avc-member-recognition-submission-kohla/23898,https://forum.makerdao.com/u/kohla,2024-03-28,AVC Member recognition submission - Kohla
https://forum.makerdao.com/t/avc-member-recognition-submission-billybob/23897,https://forum.makerdao.com/u/billybob,2024-03-28,AVC Member Recognition Submission [billybob]
https://forum.makerdao.com/t/resiliency-avc-q1-2024-position-documents/23935,https://forum.makerdao.com/u/res,2024-03-28,Resiliency AVC Q1 2024 Position Documents
https://forum.makerdao.com/t/kiss-position-document-for-q1-21st-march-2024/23920,https://forum.makerdao.com/u/dai-vinci,2024-03-28,KISS Position Document for Q1 (21st March 2024)
https://forum.makerdao.com/t/resiliency-avc-q2-2024-schedule/23936,https://forum.makerdao.com/u/res,2024-03-22,Resiliency AVC Q2 2024 Schedule
https://forum.makerdao.com/t/composable-newsletter-moves-to-kiss/22401,https://forum.makerdao.com/u/opensky,2024-03-20,Composable Newsletter moves to KISS
https://forum.makerdao.com/t/mip102c2-sp25-mip-amendment-subproposals/23346,https://forum.makerdao.com/u/opensky,2024-03-06,MIP102c2-SP25: MIP Amendment Subproposals
https://forum.makerdao.com/t/avc-creation-regenerative-finance-avc/20354,https://forum.makerdao.com/u/goodnews,2024-03-05,AVC Creation (Regenerative Finance AVC)
https://forum.makerdao.com/t/conclusion-of-kiss-avcs-position-on-bonapublicas-vote-against-mip102c2-sp26/23721,https://forum.makerdao.com/u/opensky,2024-02-20,Conclusion of KISS AVCs position on Bonapublica’s vote against MIP102c2-SP26
https://forum.makerdao.com/t/kiss-avc-instructions-to-delegates/21027,https://forum.makerdao.com/u/iammeeoh,2024-02-20,KISS AVC - Instructions to Delegates
https://forum.makerdao.com/t/digital-film-asset-participation-market-or-what-can-endgame-do-for-film3/23720,https://forum.makerdao.com/u/fhomoney,2024-02-19,Digital Film Asset Participation Market or What Can Endgame do for Film3?
https://forum.makerdao.com/t/mip102c2-sp26-mip-amendment-subproposal/23348,https://forum.makerdao.com/u/opensky,2024-02-07,MIP102c2-SP26: MIP Amendment Subproposal
https://forum.makerdao.com/t/resiliency-mkr-delegation/23527,https://forum.makerdao.com/u/res,2024-01-31,Resiliency MKR Delegation
https://forum.makerdao.com/t/mkr-regenerative-finance-refi-strategy-priorities/22242,https://forum.makerdao.com/u/fhomoney,2024-01-02,MKR Regenerative Finance (ReFi) Strategy & Priorities
https://forum.makerdao.com/t/quarterly-review-31st-december-2023/23320,https://forum.makerdao.com/u/iammeeoh,2023-12-01,Quarterly Review (31st December 2023)
https://forum.makerdao.com/t/kiss-position-document-for-q4-14th-dec-2024/23166,https://forum.makerdao.com/u/iammeeoh,2023-12-01,KISS Position Document for Q4 (14th Dec 2024)
https://forum.makerdao.com/t/resiliency-avc-q1-2024-schedule/23248,https://forum.makerdao.com/u/res,2023-12-01,Resiliency AVC Q1 2024 Schedule
https://forum.makerdao.com/t/resiliency-avc-q4-position-documents/23247,https://forum.makerdao.com/u/res,2023-12-01,Resiliency AVC Q4 Position Documents
https://forum.makerdao.com/t/out-of-schedule-public-call-with-powerhouse/23107,https://forum.makerdao.com/u/seedlatam,2023-12-01,Out of Schedule Public Call with Powerhouse
https://forum.makerdao.com/t/official-ban-of-two-ads-from-the-kiss-avc/22764,https://forum.makerdao.com/u/iammeeoh,2023-11-01,Official ban of two ADs from the KISS AVC
https://forum.makerdao.com/t/avc-member-recognition-submission-ldf/22315,https://forum.makerdao.com/u/ldf,2023-11-01,AVC Member Recognition Submission [LDF]
https://forum.makerdao.com/t/avc-member-recognition-libertas/22309,https://forum.makerdao.com/u/libertas,2023-11-01,AVC Member Recognition - Libertas
https://forum.makerdao.com/t/avc-member-recognition-submission-stefdelev/22317,https://forum.makerdao.com/u/stefdelev,2023-10-01,AVC Member Recognition Submission [stefdelev]
https://forum.makerdao.com/t/how-makerdao-can-contribute-to-ai-alignment/22473,https://forum.makerdao.com/u/abundance,2023-10-01,How MakerDAO can contribute to AI Alignment
https://forum.makerdao.com/t/refi-avc-acre-daos-members-receive-retroactive-mkr-rewards-for-public-goods/22410,https://forum.makerdao.com/u/goodnews,2023-10-01,ReFi AVC: ACRE DAOs Members Receive Retroactive MKR Rewards for Public Goods
https://forum.makerdao.com/t/templates-for-avc-members-member-application-switch-to-new-avc-change-verified-mkr/22383,https://forum.makerdao.com/u/le_bateleur,2023-10-01,"Templates for AVC Members (Member Application, Switch to New AVC, Change Verified MKR)"
https://forum.makerdao.com/t/composable-avc-notification-of-inactivity/22364,https://forum.makerdao.com/u/opensky,2023-10-01,Composable AVC - Notification of Inactivity
