Link,Author,Release Date,Title
https://gov.optimism.io/t/synpress-builders-grant-cycle-11/5578,https://gov.optimism.io/u/drptbl,2024-04-02,Synpress - Builders Grant - Cycle 11
https://gov.optimism.io/t/builders-cycle-11-inverter-network-conditional-streaming-protocol-on-optimism/5623,https://gov.optimism.io/u/dckid34,2024-04-02,[Builders Cycle 11] Inverter Network: Conditional Streaming Protocol on Optimism
https://gov.optimism.io/t/draft-gf-phase-1-growth-experiments-grant-btc-holders-bridge-to-ethereum-in-a-trust-minimized-way/5638,https://gov.optimism.io/u/john_packel,2024-03-28,[DRAFT][GF: Phase 1] Growth Experiments Grant: BTC holders bridge to Ethereum in a trust-minimized way
https://gov.optimism.io/t/final-chaintrap-builders-cycle-11/5526,https://gov.optimism.io/u/blueblade,2024-03-25,[FINAL] Chaintrap Builders - Cycle 11
https://gov.optimism.io/t/dm3-protocol-messaging-as-a-public-good/5505,https://gov.optimism.io/u/vegayp,2024-03-21,Dm3 protocol: messaging as a public good
https://gov.optimism.io/t/ready-builders-cycle-11-integration-of-optimism-into-airgap-vault-airgap-wallet-and-airgap-coin-lib/5402,https://gov.optimism.io/u/mlaeng,2024-03-19,"[READY][Builders, Cycle 11]: Integration of Optimism into AirGap Vault, AirGap Wallet and airgap-coin-lib"
https://gov.optimism.io/t/cycle-11-herodotus-storage-proofs/5630,https://gov.optimism.io/u/kozi,2024-03-19,[Cycle 11] - Herodotus - Storage Proofs
https://gov.optimism.io/t/draft-gf-phase-1-charmverse/5546,https://gov.optimism.io/u/alexpoon_hk,2024-03-13,[DRAFT] [GF: Phase 1] CharmVerse
https://gov.optimism.io/t/draft-gf-phase-1-proposal-rotki/5025,https://gov.optimism.io/u/lefterisjp,2024-03-09,[DRAFT][GF: Phase 1 Proposal] rotki
https://gov.optimism.io/t/ready-gf-phase-1-proposal-opti-domains-interoperable-domain-name-for-the-op-stack/5510,https://gov.optimism.io/u/chom,2024-03-06,[READY][GF: Phase 1 Proposal] Opti.domains | Interoperable domain name for the OP Stack
https://gov.optimism.io/t/optimism-by-brelgin/7737,https://gov.optimism.io/u/rroydds,2024-02-29,Optimism by Brelgin
https://gov.optimism.io/t/draft-gf-phase-1-proposal-metronomo/5021,https://gov.optimism.io/u/grantsops,2024-02-29,[DRAFT][GF: Phase 1 Proposal] Metronomo
https://gov.optimism.io/t/who-are-the-current-grant-council-nominees-and-where-do-decisions-take-place/7507,https://gov.optimism.io/u/0xr,2024-02-27,Who are the current Grant Council nominees and where do decisions take place?
https://gov.optimism.io/t/gf-phase-1-proposal-defunds-co-decentralized-finance/4912,https://gov.optimism.io/u/igor,2024-02-26,[GF: Phase 1 Proposal] DeFunds.co - Decentralized Finance
https://gov.optimism.io/t/footprint-analytics-optimism-builders-grant-cycle-11/5603,https://gov.optimism.io/u/lynn,2024-02-18,Footprint Analytics - Optimism Builders Grant - Cycle 11
https://gov.optimism.io/t/jiffyscan-builder-grant-cycle-11/5562,https://gov.optimism.io/u/vintageplayer,2024-02-14,JiffyScan - Builder Grant - Cycle 11
https://gov.optimism.io/t/the-defiant-1-ranked-crypto-101-education-onboarding-series/7599,https://gov.optimism.io/u/thedefiant,2024-02-05,The Defiant: #1 Ranked Crypto 101 Education & Onboarding Series
https://gov.optimism.io/t/draft-gf-phase-1-proposal-ens-wildcard-domains/5044,https://gov.optimism.io/u/stevegachau.eth,2024-01-31,[DRAFT][GF: Phase 1 Proposal] ENS Wildcard Domains
https://gov.optimism.io/t/gf-phase-1-proposal-edge-wallet-integration-of-optimism-velodrome-lp-staking-swaps-tarot-lp-staking/3994,https://gov.optimism.io/u/edgeop,2024-01-31,[GF: Phase 1 Proposal] Edge Wallet - (Integration of Optimism + Velodrome LP Staking / Swaps + Tarot LP Staking)
https://gov.optimism.io/t/gf-phase-1-proposal-atomic-links/5029,https://gov.optimism.io/u/grantsops,2024-01-28,[GF: Phase 1 Proposal] Atomic Links
https://gov.optimism.io/t/draft-gf-phase-1-proposal-clique/4980,https://gov.optimism.io/u/kvny2046,2024-01-24,[DRAFT][GF: Phase 1 Proposal] Clique
https://gov.optimism.io/t/ready-gf-phase-1-proposal-dragonia/3107,https://gov.optimism.io/u/crowly,2024-01-22,[READY] [GF: Phase 1 Proposal] Dragonia
https://gov.optimism.io/t/grants-council-platform-request/7142,https://gov.optimism.io/u/gonna.eth,2024-01-17,Grants Council platform request
https://gov.optimism.io/t/ready-gf-phase-1-proposal-premia/5034,https://gov.optimism.io/u/dk3,2024-01-10,[READY][GF: Phase 1 Proposal] Premia
https://gov.optimism.io/t/ready-gf-phase-1-proposal-paytrie-stablecoin-on-off-ramp-in-canada/5380,https://gov.optimism.io/u/jasonpaytrie,2024-01-08,[READY][GF: Phase 1 Proposal] PayTrie - Stablecoin On/Off Ramp in Canada
https://gov.optimism.io/t/ready-gf-phase-1-xtoken-terminal-gamma-strategies-and-uniswap-v3-staker/3001,https://gov.optimism.io/u/ben_xtoken,2023-12-01,"[READY] [GF: Phase 1] xToken Terminal, Gamma Strategies, and Uniswap V3 Staker"
https://gov.optimism.io/t/draft-gf-phase-1-proposal-parcel/5032,https://gov.optimism.io/u/grantsops,2023-12-01,[DRAFT][GF: Phase 1 Proposal] Parcel
https://gov.optimism.io/t/draft-gf-phase-1-proposal-karma-delegate-registry/4982,https://gov.optimism.io/u/grantsops,2023-12-01,[DRAFT][GF: Phase 1 Proposal] Karma Delegate Registry
https://gov.optimism.io/t/draft-gf-phase-1-proposal-front-running-protection-via-shielded-mempool-for-op-stack-using-threshold-encryption/5036,https://gov.optimism.io/u/jakubals,2023-11-01,[DRAFT][GF: Phase 1 Proposal] Front-running protection via shielded mempool for OP Stack using threshold encryption
https://gov.optimism.io/t/metalswap-growth-experiments-grant-cycle-11/5613,https://gov.optimism.io/u/metalswap,2023-11-01,Metalswap - Growth Experiments Grant - Cycle 11
https://gov.optimism.io/t/gf-phase-1-proposal-rubicon/5068,https://gov.optimism.io/u/forrest,2023-11-01,[GF: Phase 1 Proposal] Rubicon
https://gov.optimism.io/t/ready-gf-phase-1-proposal-kyberswap/4068,https://gov.optimism.io/u/shanemkt,2023-11-01,[READY] [GF: Phase 1 Proposal] KyberSwap
https://gov.optimism.io/t/geo-web-growth-experiments-cycle-11/5594,https://gov.optimism.io/u/graven,2023-10-01,Geo Web: Growth Experiments - Cycle 11
https://gov.optimism.io/t/gf-phase-2-growth-proposal-shapeshift-dao/5568,https://gov.optimism.io/u/twells,2023-10-01,[GF: Phase 2 Growth Proposal] ShapeShift DAO
https://gov.optimism.io/t/growth-experiment-bored-town-nft-art-community/5612,https://gov.optimism.io/u/sorryvrerror,2023-10-01,Growth Experiment: Bored Town NFT Art Community
https://gov.optimism.io/t/draft-gf-phase-1-proposal-the-optimistic-series/4911,https://gov.optimism.io/u/subli_defi,2023-10-01,[DRAFT] [GF: Phase 1 Proposal] The Optimistic Series
https://gov.optimism.io/t/web3-packs-charged-particles-builders-grant-for-cycle-11/5486,https://gov.optimism.io/u/rafael,2023-09-01,Web3 Packs (Charged Particles): Builders Grant for Cycle 11
https://gov.optimism.io/t/another-world-growth-experiments-cycle-11/5538,https://gov.optimism.io/u/jackie,2023-09-01,Another World - Growth Experiments - Cycle 11
https://gov.optimism.io/t/ready-gf-phase-1-proposal-superfluid/2314,https://gov.optimism.io/u/vijay,2023-09-01,[READY] [GF: Phase 1 Proposal] Superfluid
https://gov.optimism.io/t/draft-2-gf-phase-1-proposal-sonne-finance/4779,https://gov.optimism.io/u/sonnefinance,2023-08-01,[DRAFT(2)] [GF: Phase 1 Proposal] Sonne Finance
https://gov.optimism.io/t/review-gf-phase-1-proposal-optimism-tally-ho/3517,https://gov.optimism.io/u/mhluongo,2023-08-01,[REVIEW][GF Phase 1 Proposal] Optimism Tally Ho
https://gov.optimism.io/t/gf-phase-1-proposal-via-protocol/4917,https://gov.optimism.io/u/grantsops,2023-08-01,[GF: Phase 1 Proposal] Via Protocol
https://gov.optimism.io/t/ready-gf-phase-1-proposal-nested/4965,https://gov.optimism.io/u/nested,2023-08-01,[READY][GF: Phase 1 Proposal] Nested
https://gov.optimism.io/t/gf-cycle-11-proposall-dforce-one-stop-shop-for-defi-solutions-on-optimism/5482,https://gov.optimism.io/u/mggyy,2023-07-01,[GF: Cycle 11 Proposall] dForce: One-stop-shop for DeFi solutions on Optimism
https://gov.optimism.io/t/opml-optimistic-machine-learning-on-blockchain/6482,https://gov.optimism.io/u/compugenlabs,2023-07-01,OPML: OPtimistic Machine Learning on Blockchain
https://gov.optimism.io/t/optiland-quests/5425,https://gov.optimism.io/u/cryptofox,2023-07-01,Optiland Quests
https://gov.optimism.io/t/draft-gf-phase-1-proposal-curve/3089,https://gov.optimism.io/u/wormholeoracle,2023-07-01,[DRAFT] [GF: Phase 1 Proposal] Curve
https://gov.optimism.io/t/draft-gf-phase-1-proposal-crypto-lfdm/5030,https://gov.optimism.io/u/huzmond,2023-06-01,[DRAFT][GF: Phase 1 Proposal] Crypto LFDM
https://gov.optimism.io/t/ready-vesper-finance/5389,https://gov.optimism.io/u/michaelmcquaidbloq,2023-06-01,[READY] Vesper Finance
https://gov.optimism.io/t/ready-gf-phase-1-proposal-cycle-6-kromatika/3306,https://gov.optimism.io/u/kromatika,2023-06-01,[Ready] [GF: Phase 1 Proposal Cycle 6] Kromatika
https://gov.optimism.io/t/ready-fairmint-growth-experiments-cycle-11/5508,https://gov.optimism.io/u/thibauld,2023-06-01,[READY] Fairmint - Growth Experiments - Cycle 11
https://gov.optimism.io/t/ryi-unity-optimism-growth-experiments-grant-request-cycle-11/5770,https://gov.optimism.io/u/jonw,2023-06-01,RYI Unity | Optimism Growth Experiments Grant Request. Cycle 11
https://gov.optimism.io/t/draft-double-protocol/6078,https://gov.optimism.io/u/saul,2023-06-01,[DRAFT] Double Protocol
https://gov.optimism.io/t/growth-experiments-grant-optimism-oat-subsidization-on-galxe-cycle-11/5535,https://gov.optimism.io/u/galxe,2023-06-01,Growth Experiments Grant: Optimism OAT Subsidization on Galxe - Cycle 11
https://gov.optimism.io/t/draft-gf-phase-1-proposal-thales/4984,https://gov.optimism.io/u/grantsops,2023-06-01,[DRAFT][GF: Phase 1 Proposal] Thales
https://gov.optimism.io/t/draft-gf-phase-1-proposal-rabbithole-quests-on-optimism/5377,https://gov.optimism.io/u/brian_rabbithole,2023-06-01,[DRAFT][GF: Phase 1 Proposal] RabbitHole Quests on Optimism
https://gov.optimism.io/t/l1-advisors-on-chain-wealth-management-builder-grant-cycle-11/5823,https://gov.optimism.io/u/kudry,2023-06-01,L1 Advisors (on-chain wealth management) - Builder Grant - Cycle 11
https://gov.optimism.io/t/grants-council-applications/6085,https://gov.optimism.io/u/system,2023-06-01,Grants Council Applications
https://gov.optimism.io/t/cycle-11-grant-growth-experiments-rain/5530,https://gov.optimism.io/u/jennifergreenberg,2023-06-01,Cycle 11 Grant Growth Experiments- Rain
https://gov.optimism.io/t/grant-proposal-for-rango-exchange-for-expanding-the-optimism-ecosystem/5856,https://gov.optimism.io/u/martin,2023-05-01,Grant Proposal for Rango Exchange for expanding the Optimism ecosystem
https://gov.optimism.io/t/draft-phase-1-proposal-giveth/4991,https://gov.optimism.io/u/griff,2023-05-01,[DRAFT][Phase 1 Proposal] Giveth
https://gov.optimism.io/t/cian-protocol-growth-experiments-cycle-11/5545,https://gov.optimism.io/u/luffy,2023-05-01,CIAN Protocol - Growth Experiments - Cycle 11
https://gov.optimism.io/t/withdrawn-gf-phase-1-proposal-attestation-station-interface/4827,https://gov.optimism.io/u/soyboy,2023-05-01,[WITHDRAWN] [GF: Phase 1 Proposal] Attestation Station Interface
https://gov.optimism.io/t/draft-gf-phase-1-bi-social/5547,https://gov.optimism.io/u/feddas,2023-05-01,[DRAFT] [GF: Phase 1] Bi.Social
https://gov.optimism.io/t/ready-gf-phase-1-proposal-wardenswap/2712,https://gov.optimism.io/u/panas,2023-05-01,[READY] [GF: Phase 1 Proposal] WardenSwap
https://gov.optimism.io/t/draft-gf-phase-1-giottus/5639,https://gov.optimism.io/u/kiranpaval.eth,2023-04-01,[DRAFT][GF: Phase 1] Giottus
https://gov.optimism.io/t/babeldao-collaboratively-creating-story-universes/5427,https://gov.optimism.io/u/handuo,2023-04-01,BabelDAO: Collaboratively Creating Story Universes
https://gov.optimism.io/t/forward-builders-grant-cycle-11/5532,https://gov.optimism.io/u/hicofp,2023-04-01,Forward: Builders Grant - Cycle 11
https://gov.optimism.io/t/growth-experiment-cycle-11-jarvis-network/5625,https://gov.optimism.io/u/pascal0x,2023-04-01,Growth Experiment Cycle 11: Jarvis Network
https://gov.optimism.io/t/ready-gf-phase-1-proposal-popcorn-vault-infrastructure-tooling-on-optimism/5413,https://gov.optimism.io/u/realmischa,2023-04-01,[READY][GF: Phase 1 Proposal] Popcorn - Vault Infrastructure & Tooling on Optimism
https://gov.optimism.io/t/gf-phase-0-proposal-connext/851,https://gov.optimism.io/u/maxlomu,2023-04-01,[GF: Phase 0 Proposal] Connext
https://gov.optimism.io/t/optimism-grant-for-rangoexchange-the-first-cross-chain-dex-and-bridge-aggregator/5852,https://gov.optimism.io/u/martin,2023-04-01,Optimism Grant for RangoExchange the first cross-chain DEX and Bridge aggregator
https://gov.optimism.io/t/op-x-pth-builders-cycle-11/5726,https://gov.optimism.io/u/raconcilio,2023-04-01,OP x PTH Builders Cycle 11
