paper,referrer
https://people.eecs.berkeley.edu/~ksk/files/MEV_CFMM.pdf,https://www.twitter.com/freddmannen
https://people.eecs.berkeley.edu/~ksk/files/MEV_Redistribution.pdf,https://www.twitter.com/freddmannen
https://pub.tik.ee.ethz.ch/students/2021-FS/BA-2021-07.pdf,https://www.twitter.com/freddmannen
https://xenophonlabs.com/papers/uniswap_valuing_orderflow.pdf,https://www.twitter.com/freddmannen
https://angeris.github.io/papers/mev-symmetric.pdf,https://www.twitter.com/freddmannen
https://moallemi.com/ciamac/papers/lvr-fee-model-2023.pdf,https://www.twitter.com/freddmannen
https://healy.econ.ohio-state.edu/pubfiles/infomkts/litreview/Hanson%20-%20Combinatorial%20Information%20Market%20Design%2003.pdf,
https://business.columbia.edu/sites/default/files-efs/pubfiles/25476/Moallemi_latency.pdf,
https://www.cs.purdue.edu/homes/zhan3299/res/ICSE23.pdf,https://www.twitter.com/unlock_VALue
https://assets.website-files.com/62e3ff7a08cb1968bf057388/64ad5793771455690c6d1835_Index%20Coop%20-%20State%20of%20Onchain%20Strutured%20Products.pdf,https://www.twitter.com/unlock_VALue
https://cdn.aaai.org/AAAI/2006/AAAI06-110.pdf,https://www.twitter.com/unlock_VALue
https://www.microsoft.com/en-us/research/wp-content/uploads/2016/11/2010-A_Commitment_Folk_Theory.pdf,https://www.twitter.com/unlock_VALue
https://renegade.fi/whitepaper.pdf,https://www.twitter.com/unlock_VALue
https://dash.harvard.edu/bitstream/handle/1/4101256/Ng_Strategyproof.pdf?sequence=2,https://www.twitter.com/unlock_VALue
https://uniswap.org/whitepaper-uniswapx.pdf,https://www.twitter.com/unlock_VALue
https://www.sec.gov/rules/sro/iex/2022/34-96014.pdf,https://www.twitter.com/unlock_VALue
https://files.klgates.com/files/publication/fbbf6e55-0b54-4717-99ee-304cf539c9d2/presentation/publicationattachment/ff309f7b-329d-400d-978e-2032c9e2a559/perlow_peterson_rscr_final.pdf,https://www.twitter.com/unlock_VALue
https://www.sec.gov/comments/s7-02-10/s70210-128.pdf,https://www.twitter.com/unlock_VALue
https://www.sec.gov/comments/s7-02-10/s70210-138.pdf,https://www.twitter.com/unlock_VALue
https://www.sifma.org/wp-content/uploads/2017/05/sifma-submits-comments-to-the-sec-regarding-concept-release-on-equity-market-structure.pdf,https://www.twitter.com/unlock_VALue
https://www.sec.gov/marketstructure/research/fragmentation-lit-review-100713.pdf,https://www.twitter.com/unlock_VALue
https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/289025/11-1234-dr16-electronic-trading-and-market-structure.pdf,https://www.twitter.com/unlock_VALue
https://angeris.github.io/papers/cfmm-curvature.pdf,https://www.twitter.com/unlock_VALue
https://www.ams.org/meetings/shortcourse/AMS_Short_Course.pdf,https://www.twitter.com/unlock_VALue
https://www.sec.gov/files/reg-nms-rule-606-disclosures-risk-alert.pdf,https://www.twitter.com/unlock_VALue
https://www.sec.gov/comments/265-29/26529-53.pdf,https://www.twitter.com/unlock_VALue
https://www.cfainstitute.org/-/media/documents/article/position-paper/liquidity-in-equity-markets-characteristics-dynamics-implications-for-market-quality.pdf,https://www.twitter.com/unlock_VALue
https://www.pulpspy.com/papers/2023_aft.pdf,https://www.twitter.com/erayajk
https://www.imperial.ac.uk/media/imperial-college/research-centres-and-groups/cfm-imperial-institute-of-quantitative-finance/events/20160511-Kyle-Obizhaeva-Invariance-SLIDES-Imperial-45.pdf,https://www.twitter.com/unlock_VALue
https://www.cs.princeton.edu/~arvindn/publications/mining_CCS.pdf,https://twitter.com/Freddmannen
https://amturing.acm.org/p558-lamport.pdf,https://twitter.com/Freddmannen
https://github.com/MaxResnick/Papers/blob/main/Latency_Advantages_in_PBS%20(4).pdf,https://twitter.com/Freddmannen
https://sixdegree.xyz/research/Half-Year-Data-Report-of-ERC4337-by-Sixdegree.pdf,https://twitter.com/Freddmannen
https://angeris.github.io/papers/cfmm-routing.pdf,https://twitter.com/OsirisDjed
https://angeris.github.io/papers/uniswap_analysis.pdf,https://twitter.com/OsirisDjed
https://angeris.github.io/papers/cfmm-chapter.pdf,https://twitter.com/OsirisDjed
https://angeris.github.io/papers/flashbots-mev.pdf,https://twitter.com/OsirisDjed
https://core.ac.uk/download/pdf/82538817.pdf,https://twitter.com/OsirisDjed
http://people.eecs.berkeley.edu/~ksk/files/MEV_Redistribution.pdf,https://twitter.com/0x_emperor
https://assets-global.website-files.com/642f3d0236c604d1022330f2/652edd6a2cbf168cd6d9a520_PBS_and_OFA.pdf,https://www.twitter.com/unlock_VALue
https://assets-global.website-files.com/642f3d0236c604d1022330f2/652edd75133e70ca4c74f5ea_Latency_Advantages_in_PBS.pdf,https://www.twitter.com/unlock_VALue
https://xenophonlabs.com/papers/dydx_v4_report.pdf,https://www.twitter.com/unlock_VALue
https://xenophonlabs.com/papers/aave_slashing_percentage.pdf,https://www.twitter.com/unlock_VALue
https://timroughgarden.org/papers/eip1559.pdf,https://www.twitter.com/unlock_VALue
https://core.ac.uk/download/pdf/83233824.pdf,https://hackmd.io/@EspressoSystems/EspressoSequencer
https://public.bnbstatic.com/static/files/research/exploring-tokenomics-models-and-developments.pdf,https://www.twitter.com/unlock_VALue
https://research.binance.com/static/pdf/Tokenomics_Deep_Dive_Stefan_Piech_Shivam_Sharma.pdf,https://www.twitter.com/unlock_VALue
https://rdi.berkeley.edu/zkp-course/assets/lecture5-2023.pdf,
https://github.com/OffchainLabs/bold/blob/main/docs/research-specs/BOLDChallengeProtocol.pdf,
https://github.com/FastLane-Labs/atlas_whitepaper/blob/main/Atlas_Whitepaper.pdf,
https://angeris.github.io/papers/oco-fees.pdf,https://twitter.com/GuilleAngeris/status/1757463994674425882
https://apollocrypto.com/wp-content/uploads/2024/02/Modular-Blockchains-EigenLayer.pdf,
https://uniswap.org/whitepaper.pdf,https://risencrypto.github.io/
https://uniswap.org/whitepaper-v3.pdf,https://risencrypto.github.io/
https://atiselsts.github.io/pdfs/uniswap-v3-liquidity-math.pdf,https://risencrypto.github.io/
https://timroughgarden.org/papers/eobp3.pdf,
https://anthonyleezhang.github.io/slides/ethereum.pdf,
https://cms.nil.foundation/uploads/zk_EVM_1_7d6f8caa16.pdf,
