title,channel_name,Publish date,link,referrer
S4 Premiere: A Journey Into The Dark Forest | Hasu,Bell Curve,2023-03-28,https://www.youtube.com/watch?v=_8DkRO60fvw,https://www.twitter.com/freddmannen
Inside the Economics of MEV  | Matt Cutler,Bell Curve,2023-04-11,https://www.youtube.com/watch?v=17n6oHoo7pw,https://www.twitter.com/freddmannen
"MEV in a Modular World | Jon Charbonneau, Robert Miller",Bell Curve,2023-04-18,https://www.youtube.com/watch?v=b3o2YP6sxpg,https://www.twitter.com/freddmannen
"Shining A Light On MEV  | Tarun Chitra, Justin Drake",Bell Curve,2023-04-04,https://www.youtube.com/watch?v=fWRboyGk_lc,https://www.twitter.com/freddmannen
"Interview with a Searcher 2.0 | Dean Eigenman, Anish Agnihotri",Bell Curve,2023-04-25,https://www.youtube.com/watch?v=NqM9PNPQFMs,https://www.twitter.com/freddmannen
"BONUS EP: Stephane Gosselin on MEV, OFAs, and Frontier Research",Bell Curve,2023-05-31,https://www.youtube.com/watch?v=RjSG38e1Zl0,https://www.twitter.com/freddmannen
"MEV 2.0 - Order Flow Auctions & Privacy | Quintus Kilbourn, Barnabé Monnot",Bell Curve,2023-05-16,https://www.youtube.com/watch?v=4t7qbv4Wzn4,https://www.twitter.com/freddmannen
"An anatomy of order flow, Tom Schmidt (Dragonfly Capital Partners) | MEV [re]search-athon",Flashbots,2023-03-15,https://www.youtube.com/watch?v=EzQmuc_GhYw,https://www.twitter.com/unlock_VALue
"Order Flow Auction Treasure Map, Quintus Kilbourn (Flashbots) | MEV [re]search-athon",Flashbots,2023-03-15,https://www.youtube.com/watch?v=9je9VheLZpw,https://www.twitter.com/unlock_VALue
"From auctions.google.com to auctions.best, Tarun Chitra (Gauntlet) | MEV [re]search-athon",Flashbots,2023-03-15,https://www.youtube.com/watch?v=RZTYZ4qXdz4,https://www.twitter.com/unlock_VALue
Live walk-through of simple-blind-arbitrage,Flashbots,2023-06-02,https://www.youtube.com/watch?v=Twcr2vZ1tRU,https://www.twitter.com/unlock_VALue
"MEV-Share, Robert Miller (Flashbots) | MEV [re]search-athon",Flashbots,2023-03-15,https://www.youtube.com/watch?v=MqUvO9oHwYg,https://www.twitter.com/unlock_VALue
MEV Roast | Why Privacy in MEV - Quintus Kilbourn (Flashbots),Flashbots,2023-01-19,https://www.youtube.com/watch?v=cJ_c-69neUQ,https://www.twitter.com/unlock_VALue
Vitalik Buterin: Decentralizing the Builder Role - SBC 2022,Flashbots,2022-09-07,https://www.youtube.com/watch?v=fAgrIdyWIqc,https://www.twitter.com/unlock_VALue
The Edge of MEV Switching Costs and the Slow Game - Christopher Goes,Research Day,2023-05-27,https://www.youtube.com/watch?v=PUBvZRhOTAo,https://www.twitter.com/unlock_VALue
Season 4 Finale: An MEV Masterclass,Bell Curve,2023-05-23,https://www.youtube.com/watch?v=pMhc3MHip5k,https://www.twitter.com/unlock_VALue
"Welcome to ""RaaS DAY"": Rollups-as-a-Service Day I AltLayer I 22 June",Altlayer,2023-06-22,https://www.youtube.com/watch?v=ymVd2Ch7wBc&t=13022s,https://www.twitter.com/unlock_VALue
ETH’s Biggest Upgrade Since EIP1559 | MEV Burn w/ Justin Drake and Dom,Bankless,2023-05-08,https://www.youtube.com/watch?v=nb7x7n8Ga3U,https://www.twitter.com/unlock_VALue
Xinyuan Sun: PBS and Layer 2s,Flashbots,2022-09-08,https://www.youtube.com/watch?v=JCZDd0iCMsg,https://www.twitter.com/unlock_VALue
Smart Transactions by Vlad Zamfir | Devcon Bogotá,Ethereum Foundation,2022-10-13,https://www.youtube.com/watch?v=dS3NRPu5L9s,https://www.twitter.com/unlock_VALue
Trillion Dollar MEV Questions - Robert Miller,Research Day,2023-05-26,https://www.youtube.com/watch?v=haTD69gjOF8,https://www.twitter.com/unlock_VALue
Economists as Engineers: Game Theory and Market Design,TAUVOD,2016-05-22,https://www.youtube.com/watch?v=SLqYi2FNFwY,https://www.twitter.com/unlock_VALue
CredibleCommitments.WTF | Barnabé Monnot - Aligning like a Protocol,Flashbots,2023-07-14,https://www.youtube.com/watch?v=GR4g9vu2PwE&list=PLNEU2yZH9vML2gnRxGPwXqVczJA7MFR7W,https://www.twitter.com/unlock_VALue
CredibleCommitments.WTF | Xinyuan Sun - Mediator Extractable Value,Flashbots,2023-07-14,https://www.youtube.com/watch?v=DnhxjSY-ZDM,https://www.twitter.com/unlock_VALue
CredibleCommitments.WTF | Lewis Hammond - Cooperative AI in the Real World,Flashbots,2023-07-14,https://www.youtube.com/watch?v=dgbZPMRvb7M,https://www.twitter.com/unlock_VALue
CredibleCommitments.WTF | Anthony DiGiovanni - Private Information and  Miscoordination,Flashbots,2023-07-14,https://www.youtube.com/watch?v=TOYRSiKfrXk,https://www.twitter.com/unlock_VALue
CredibleCommitments.WTF | David C. Parkes - Illustrations on Commitment in Decentralized Systems,Flashbots,2023-07-14,https://www.youtube.com/watch?v=DM8mOh9JExM,https://www.twitter.com/unlock_VALue
This is MEV by sxysun | Devcon Bogotá,Ethereum Foundation,2022-10-13,https://www.youtube.com/watch?v=8qPpiMDz_hw,https://www.twitter.com/unlock_VALue
SUAVE smart contract programming model: TEE-based smart contracts for block building - Andrew Miller,Flashbots,2023-07-13,https://www.youtube.com/watch?v=DhsDFKnHPa0,https://www.twitter.com/unlock_VALue
Targeting Zero MEV In The Base Layer,Pmcgoohan - Zeromev,2021-07-05,https://www.youtube.com/watch?v=zf2l3veT9EI&t=9s,https://www.twitter.com/unlock_VALue
"Deep Learning for Auction Design: Fairness, Robustness, Expressiveness. John Dickerson, U. Maryland",AI for Economics,2021-04-09,https://www.youtube.com/watch?v=bqGUOJkz8L8,https://www.twitter.com/unlock_VALue
"Automatic Curricula in Deep Multi-Agent Reinforcement Learning, Thore Graepel, DeepMind and UCL",AI for Economics,2021-04-08,https://www.youtube.com/watch?v=HJRIlqTvKFo,https://www.twitter.com/unlock_VALue
"Game Theory and Machine Learning for Multiagent Comm. and Coordination, Fei Fang, CMU (Feb 2, 2021)",AI for Economics,2021-02-06,https://www.youtube.com/watch?v=B1krrN12vLU,https://www.twitter.com/unlock_VALue
"Learning Equilibria... and the Ensuing Empirical Design of Mechanisms, Amy Greenwald (Brown Univ)",AI for Economics,2021-04-08,https://www.youtube.com/watch?v=7E9QVO_BhxU,https://www.twitter.com/unlock_VALue
"Are Intents, SUAVE, Account Abstraction, & Cross-Chain Bridging all the same thing? - Uma Roy",Research Day,2023-05-26,https://www.youtube.com/watch?v=G0nFyq9DDPw,https://www.twitter.com/unlock_VALue
Modular Summit Day 2 (Galois Stage),Celestia,2023-07-22,https://www.youtube.com/watch?v=WYH7n4M016A&list=PLNEU2yZH9vML2gnRxGPwXqVczJA7MFR7W&index=5&t=19043s,https://www.twitter.com/unlock_VALue
